segment_id,driver_id,segment_type,order_id,segment_start_time,segment_end_time
0,4,STOP,1312,"2024-02-09 14:58:42","2024-02-09 15:01:56"
1,4,DRIVE,NULL,"2024-02-09 14:51:20","2024-02-09 14:55:42"
2,4,STOP,1273,"2024-02-24 09:26:31","2024-02-24 09:32:12"
3,4,DRIVE,NULL,"2024-02-24 09:15:02","2024-02-24 09:23:31"
4,1,STOP,1036,"2024-02-24 20:26:23","2024-02-24 20:26:23"
5,1,DRIVE,NULL,"2024-02-24 20:17:02","2024-02-24 20:23:23"
6,1,STOP,NULL,"2024-02-24 20:03:27","2024-02-24 20:20:43"
7,2,STOP,2178,"2024-02-23 09:39:03","2024-02-23 09:40:47"
8,2,DRIVE,NULL,"2024-02-23 09:28:27","2024-02-23 09:36:03"
9,2,STOP,NULL,"2024-02-23 09:14:28","2024-02-23 09:31:22"
10,4,STOP,331,"2024-02-26 07:03:21","2024-02-26 07:06:16"
11,4,DRIVE,NULL,"2024-02-26 06:54:47","2024-02-26 07:00:21"
12,1,STOP,2221,"2024-02-16 04:37:40","2024-02-16 04:40:06"
13,1,DRIVE,NULL,"2024-02-16 04:26:14","2024-02-16 04:34:40"
14,1,STOP,NULL,"2024-02-16 04:16:00","2024-02-16 04:28:51"
15,4,STOP,355,"2024-02-18 21:18:21","2024-02-18 21:22:54"
16,4,DRIVE,NULL,"2024-02-18 21:04:48","2024-02-18 21:15:21"
17,2,STOP,1469,"2024-02-02 07:06:35","2024-02-02 07:06:35"
18,2,DRIVE,NULL,"2024-02-02 06:54:26","2024-02-02 07:03:35"
19,2,STOP,1461,"2024-02-02 21:06:43","2024-02-02 21:08:58"
20,2,DRIVE,NULL,"2024-02-02 20:59:11","2024-02-02 21:03:43"
21,1,STOP,2222,"2024-02-21 15:27:26","2024-02-21 15:27:26"
22,1,DRIVE,NULL,"2024-02-21 15:19:15","2024-02-21 15:24:26"
23,3,STOP,1427,"2024-02-22 18:24:15","2024-02-22 18:26:35"
24,3,DRIVE,NULL,"2024-02-22 18:13:51","2024-02-22 18:21:15"
25,2,STOP,1174,"2024-02-02 14:20:59","2024-02-02 14:23:30"
26,2,DRIVE,NULL,"2024-02-02 14:13:28","2024-02-02 14:13:28"
27,2,STOP,265,"2024-02-07 08:22:27","2024-02-07 08:24:40"
28,2,DRIVE,NULL,"2024-02-07 08:12:03","2024-02-07 08:19:27"
29,2,STOP,NULL,"2024-02-07 08:02:33","2024-02-07 08:15:27"
30,4,STOP,1817,"2024-02-12 19:09:29","2024-02-12 19:14:12"
31,4,DRIVE,NULL,"2024-02-12 19:02:35","2024-02-12 19:06:29"
32,4,STOP,809,"2024-02-26 09:28:53","2024-02-26 09:35:16"
33,4,DRIVE,NULL,"2024-02-26 09:20:27","2024-02-26 09:25:53"
34,1,STOP,2120,"2024-02-28 09:43:53","2024-02-28 09:44:25"
35,1,DRIVE,NULL,"2024-02-28 09:34:12","2024-02-28 09:40:53"
36,1,STOP,351,"2024-02-13 03:05:59","2024-02-13 03:07:40"
37,1,DRIVE,NULL,"2024-02-13 03:00:11","2024-02-13 03:02:59"
38,4,STOP,1325,"2024-02-01 02:50:54","2024-02-01 03:00:10"
39,4,DRIVE,NULL,"2024-02-01 02:43:01","2024-02-01 02:47:54"
40,1,STOP,2129,"2024-02-23 20:35:49","2024-02-23 20:36:38"
41,1,DRIVE,NULL,"2024-02-23 20:27:45","2024-02-23 20:32:49"
42,4,STOP,1359,"2024-02-28 06:45:54","2024-02-28 06:53:52"
43,4,DRIVE,NULL,"2024-02-28 06:38:18","2024-02-28 10:42:54"
44,1,STOP,467,"2024-02-17 18:45:32","2024-02-17 18:46:31"
45,1,DRIVE,NULL,"2024-02-17 18:32:40","2024-02-17 18:42:32"
46,2,STOP,1047,"2024-02-10 15:50:53","2024-02-10 15:52:41"
47,2,DRIVE,NULL,"2024-02-10 15:37:09","2024-02-10 15:47:53"
48,2,STOP,1145,"2024-02-08 19:30:45","2024-02-08 19:32:18"
49,2,DRIVE,NULL,"2024-02-08 19:16:04","2024-02-08 19:27:45"
50,2,STOP,2186,"2024-02-28 08:30:20","2024-02-28 08:33:33"
51,2,DRIVE,NULL,"2024-02-28 08:23:44","2024-02-28 08:27:20"
52,1,STOP,556,"2024-02-21 08:38:17","2024-02-21 08:39:29"
53,1,DRIVE,NULL,"2024-02-21 08:25:10","2024-02-21 08:35:17"
54,3,STOP,304,"2024-02-19 06:17:56","2024-02-19 06:21:56"
55,3,DRIVE,NULL,"2024-02-19 06:06:11","2024-02-19 06:14:56"
56,3,STOP,NULL,"2024-02-19 05:54:30","2024-02-19 06:08:22"
57,4,STOP,414,"2024-02-18 08:09:13","2024-02-18 08:14:03"
58,4,DRIVE,NULL,"2024-02-18 07:55:46","2024-02-18 08:06:13"
59,4,STOP,1999,"2024-02-25 17:12:54","2024-02-25 17:12:54"
60,4,DRIVE,NULL,"2024-02-25 16:57:58","2024-02-25 17:09:54"
61,2,STOP,1210,"2024-02-22 17:42:52","2024-02-22 17:46:05"
62,2,DRIVE,NULL,"2024-02-22 17:34:33","2024-02-22 17:39:52"
63,1,STOP,1962,"2024-02-25 02:09:09","2024-02-25 02:10:07"
64,1,DRIVE,NULL,"2024-02-25 01:57:23","2024-02-25 02:06:09"
65,1,STOP,27,"2024-02-01 20:47:52","2024-02-01 20:48:59"
66,1,DRIVE,NULL,"2024-02-01 20:41:38","2024-02-01 20:44:52"
67,3,STOP,231,"2024-02-03 17:27:10","2024-02-03 17:30:39"
68,3,DRIVE,NULL,"2024-02-03 17:14:00","2024-02-03 17:24:10"
69,2,STOP,2185,"2024-02-03 03:53:28","2024-02-03 03:58:08"
70,2,DRIVE,NULL,"2024-02-03 03:47:33","2024-02-03 03:50:28"
71,1,STOP,48,"2024-02-11 07:59:17","2024-02-11 07:59:17"
72,1,DRIVE,NULL,"2024-02-11 07:48:03","2024-02-11 07:48:03"
73,1,STOP,NULL,"2024-02-11 07:34:57","2024-02-11 07:52:56"
74,3,STOP,1732,"2024-02-28 15:46:33","2024-02-28 15:49:45"
75,3,DRIVE,NULL,"2024-02-28 15:40:27","2024-02-28 15:43:33"
76,2,STOP,1577,"2024-02-13 17:43:33","2024-02-13 17:45:22"
77,2,DRIVE,NULL,"2024-02-13 17:32:09","2024-02-13 17:32:09"
78,3,STOP,2161,"2024-02-20 19:10:13","2024-02-20 19:12:27"
79,3,DRIVE,NULL,"2024-02-20 19:01:41","2024-02-20 19:07:13"
80,1,STOP,152,"2024-02-01 20:41:21","2024-02-01 20:43:22"
81,1,DRIVE,NULL,"2024-02-01 20:31:57","2024-02-01 20:38:21"
82,1,STOP,NULL,"2024-02-01 20:19:30","2024-02-01 20:36:22"
83,3,STOP,328,"2024-02-08 15:22:08","2024-02-08 15:26:21"
